date,year,month,month_name,quarter,week,day_of_week,is_weekend
2017-03-18 21:15:19,2017,3,March,1,11,Saturday,True
2017-03-19 21:15:19,2017,3,March,1,11,Sunday,True
2017-03-20 21:15:19,2017,3,March,1,12,Monday,False
2017-03-21 21:15:19,2017,3,March,1,12,Tuesday,False
2017-03-22 21:15:19,2017,3,March,1,12,Wednesday,False
2017-03-23 21:15:19,2017,3,March,1,12,Thursday,False
2017-03-24 21:15:19,2017,3,March,1,12,Friday,False
2017-03-25 21:15:19,2017,3,March,1,12,Saturday,True
2017-03-26 21:15:19,2017,3,March,1,12,Sunday,True
2017-03-27 21:15:19,2017,3,March,1,13,Monday,False
2017-03-28 21:15:19,2017,3,March,1,13,Tuesday,False
2017-03-29 21:15:19,2017,3,March,1,13,Wednesday,False
2017-03-30 21:15:19,2017,3,March,1,13,Thursday,False
2017-03-31 21:15:19,2017,3,March,1,13,Friday,False
2017-04-01 21:15:19,2017,4,April,2,13,Saturday,True
2017-04-02 21:15:19,2017,4,April,2,13,Sunday,True
2017-04-03 21:15:19,2017,4,April,2,14,Monday,False
2017-04-04 21:15:19,2017,4,April,2,14,Tuesday,False
2017-04-05 21:15:19,2017,4,April,2,14,Wednesday,False
2017-04-06 21:15:19,2017,4,April,2,14,Thursday,False
2017-04-07 21:15:19,2017,4,April,2,14,Friday,False
2017-04-08 21:15:19,2017,4,April,2,14,Saturday,True
2017-04-09 21:15:19,2017,4,April,2,14,Sunday,True
2017-04-10 21:15:19,2017,4,April,2,15,Monday,False
2017-04-11 21:15:19,2017,4,April,2,15,Tuesday,False
2017-04-12 21:15:19,2017,4,April,2,15,Wednesday,False
2017-04-13 21:15:19,2017,4,April,2,15,Thursday,False
2017-04-14 21:15:19,2017,4,April,2,15,Friday,False
2017-04-15 21:15:19,2017,4,April,2,15,Saturday,True
2017-04-16 21:15:19,2017,4,April,2,15,Sunday,True
2017-04-17 21:15:19,2017,4,April,2,16,Monday,False
2017-04-18 21:15:19,2017,4,April,2,16,Tuesday,False
2017-04-19 21:15:19,2017,4,April,2,16,Wednesday,False
2017-04-20 21:15:19,2017,4,April,2,16,Thursday,False
2017-04-21 21:15:19,2017,4,April,2,16,Friday,False
2017-04-22 21:15:19,2017,4,April,2,16,Saturday,True
2017-04-23 21:15:19,2017,4,April,2,16,Sunday,True
2017-04-24 21:15:19,2017,4,April,2,17,Monday,False
2017-04-25 21:15:19,2017,4,April,2,17,Tuesday,False
2017-04-26 21:15:19,2017,4,April,2,17,Wednesday,False
2017-04-27 21:15:19,2017,4,April,2,17,Thursday,False
2017-04-28 21:15:19,2017,4,April,2,17,Friday,False
2017-04-29 21:15:19,2017,4,April,2,17,Saturday,True
2017-04-30 21:15:19,2017,4,April,2,17,Sunday,True
2017-05-01 21:15:19,2017,5,May,2,18,Monday,False
2017-05-02 21:15:19,2017,5,May,2,18,Tuesday,False
2017-05-03 21:15:19,2017,5,May,2,18,Wednesday,False
2017-05-04 21:15:19,2017,5,May,2,18,Thursday,False
2017-05-05 21:15:19,2017,5,May,2,18,Friday,False
2017-05-06 21:15:19,2017,5,May,2,18,Saturday,True
2017-05-07 21:15:19,2017,5,May,2,18,Sunday,True
2017-05-08 21:15:19,2017,5,May,2,19,Monday,False
2017-05-09 21:15:19,2017,5,May,2,19,Tuesday,False
2017-05-10 21:15:19,2017,5,May,2,19,Wednesday,False
2017-05-11 21:15:19,2017,5,May,2,19,Thursday,False
2017-05-12 21:15:19,2017,5,May,2,19,Friday,False
2017-05-13 21:15:19,2017,5,May,2,19,Saturday,True
2017-05-14 21:15:19,2017,5,May,2,19,Sunday,True
2017-05-15 21:15:19,2017,5,May,2,20,Monday,False
2017-05-16 21:15:19,2017,5,May,2,20,Tuesday,False
2017-05-17 21:15:19,2017,5,May,2,20,Wednesday,False
2017-05-18 21:15:19,2017,5,May,2,20,Thursday,False
2017-05-19 21:15:19,2017,5,May,2,20,Friday,False
2017-05-20 21:15:19,2017,5,May,2,20,Saturday,True
2017-05-21 21:15:19,2017,5,May,2,20,Sunday,True
2017-05-22 21:15:19,2017,5,May,2,21,Monday,False
2017-05-23 21:15:19,2017,5,May,2,21,Tuesday,False
2017-05-24 21:15:19,2017,5,May,2,21,Wednesday,False
2017-05-25 21:15:19,2017,5,May,2,21,Thursday,False
2017-05-26 21:15:19,2017,5,May,2,21,Friday,False
2017-05-27 21:15:19,2017,5,May,2,21,Saturday,True
